hasOldNr,Signature
RT 19,SGV_12N_41819
RT 20,SGV_12N_41820
RT 21,SGV_12N_41821
RT 22,SGV_12N_41822
RT 23,SGV_12N_41823
RT 24,SGV_12N_41824
RT 25,SGV_12N_41825
RT 26,SGV_12N_41826
RT 27,SGV_12N_41827
RT 28,SGV_12N_41828
RT 29,SGV_12N_41829
RT 30,SGV_12N_41830
RT 31,SGV_12N_41831
RT 32,SGV_12N_41832
RT 33,SGV_12N_41833
RT 34,SGV_12N_41834
RT 35,SGV_12N_41835
RT 36,SGV_12N_41836
RT 37,SGV_12N_41837
RT 38,SGV_12N_41838
RT 39,SGV_12N_41839
RT 40,SGV_12N_41840
RT 41,SGV_12N_41841
RT 42,SGV_12N_41842
RT 43,SGV_12N_41843
RT 44,SGV_12N_41844
RT 45,SGV_12N_41845
RT 46,SGV_12N_41846
RT 47,SGV_12N_41847
RT 48,SGV_12N_41848
RT 49,SGV_12N_41849
RT 50,SGV_12N_41850
RT 51,SGV_12N_41851
RT 52,SGV_12N_41852
RT 53,SGV_12N_41853
RT 54,SGV_12N_41854
RT 55,SGV_12N_41855
RT 56,SGV_12N_41856
RT 57,SGV_12N_41857
RT 58,SGV_12N_41858
RT 59,SGV_12N_41859
RT 60,SGV_12N_41860
RT 61,SGV_12N_41861
RT 62,SGV_12N_41862
RT 63,SGV_12N_41863
RT 64,SGV_12N_41864
RT 65,SGV_12N_41865
RT 66,SGV_12N_41866
RT 67,SGV_12N_41867
RT 68,SGV_12N_41868
RT 69,SGV_12N_41869
RT 70,SGV_12N_41870
RT 71,SGV_12N_41871
RT 72,SGV_12N_41872
RT 73,SGV_12N_41873
RT 74,SGV_12N_41874
RT 75,SGV_12N_41875
RT 76,SGV_12N_41876
RT 77,SGV_12N_41877
RT 78,SGV_12N_41878
RT 79,SGV_12N_41879
RT 80,SGV_12N_41880
RT 81,SGV_12N_41881
RT 82,SGV_12N_41882
RT 83,SGV_12N_41883
RT 84,SGV_12N_41884
RT 85,SGV_12N_41885
RT 86,SGV_12N_41886
RT 87,SGV_12N_41887
RT 88,SGV_12N_41888
RT 89,SGV_12N_41889
RT 90,SGV_12N_41890
RT 91,SGV_12N_41891
RT 92,SGV_12N_41892
RT 93,SGV_12N_41893
RT 94,SGV_12N_41894
RT 95,SGV_12N_41895
RT 96,SGV_12N_41896
RT 97,SGV_12N_41897
RT 98,SGV_12N_41898
RT 99,SGV_12N_41899
RT 100,SGV_12N_41900
RU 1,SGV_12N_41901
RU 2,SGV_12N_41902
RU 3,SGV_12N_41903
RU 4,SGV_12N_41904
RU 5,SGV_12N_41905
RU 6,SGV_12N_41906
RU 7,SGV_12N_41907
RU 8,SGV_12N_41908
RU 9,SGV_12N_41909
RU 10,SGV_12N_41910
RU 11,SGV_12N_41911
RU 12,SGV_12N_41912
RU 13,SGV_12N_41913
RU 14,SGV_12N_41914
RU 15,SGV_12N_41915
RU 16,SGV_12N_41916
RU 17,SGV_12N_41917
RU 18,SGV_12N_41918
RU 19,SGV_12N_41919
RU 20,SGV_12N_41920
RU 21,SGV_12N_41921
RU 22,SGV_12N_41922
RU 23,SGV_12N_41923
RU 24,SGV_12N_41924
RU 25,SGV_12N_41925
RU 26,SGV_12N_41926
RU 27,SGV_12N_41927
RU 28,SGV_12N_41928
RU 29,SGV_12N_41929
RU 30,SGV_12N_41930
RU 31,SGV_12N_41931
RU 32,SGV_12N_41932
RU 33,SGV_12N_41933
RU 34,SGV_12N_41934
RU 35,SGV_12N_41935
RU 36,SGV_12N_41936
RU 37,SGV_12N_41937
RU 38,SGV_12N_41938
RU 39,SGV_12N_41939
RU 40,SGV_12N_41940
RU 41,SGV_12N_41941
RU 42,SGV_12N_41942
RU 43,SGV_12N_41943
RU 44,SGV_12N_41944
RU 45,SGV_12N_41945
RU 46,SGV_12N_41946
RU 47,SGV_12N_41947
RU 48,SGV_12N_41948
RU 49,SGV_12N_41949
RU 50,SGV_12N_41950
RU 51,SGV_12N_41951
RU 52,SGV_12N_41952
RU 53,SGV_12N_41953
RU 54,SGV_12N_41954
RU 55,SGV_12N_41955
RU 56,SGV_12N_41956
RU 57,SGV_12N_41957
RU 58,SGV_12N_41958
RU 59,SGV_12N_41959
RU 60,SGV_12N_41960
RU 61,SGV_12N_41961
RU 62,SGV_12N_41962
RU 63,SGV_12N_41963
RU 64,SGV_12N_41964
RU 65,SGV_12N_41965
RU 66,SGV_12N_41966
RU 67,SGV_12N_41967
RU 68,SGV_12N_41968
RU 69,SGV_12N_41969
RU 70,SGV_12N_41970
RU 71,SGV_12N_41971
RU 72,SGV_12N_41972
RU 73,SGV_12N_41973
RU 74,SGV_12N_41974
RU 75,SGV_12N_41975
RU 76,SGV_12N_41976
RU 77,SGV_12N_41977
RU 78,SGV_12N_41978
RU 79,SGV_12N_41979
RU 80,SGV_12N_41980
RU 81,SGV_12N_41981
RU 82,SGV_12N_41982
RU 83,SGV_12N_41983
RU 84,SGV_12N_41984
RU 85,SGV_12N_41985
RU 86,SGV_12N_41986
RU 87,SGV_12N_41987
RU 88,SGV_12N_41988
RU 89,SGV_12N_41989
RU 90,SGV_12N_41990
RU 91,SGV_12N_41991
RU 92,SGV_12N_41992
RU 93,SGV_12N_41993
RU 94,SGV_12N_41994
RU 95,SGV_12N_41995
RU 96,SGV_12N_41996
RU 97,SGV_12N_41997
RU 98,SGV_12N_41998
RU 99,SGV_12N_41999
RU 100,SGV_12N_42000
RV 1,SGV_12N_42001
RV 2,SGV_12N_42002
RV 3,SGV_12N_42003
RV 4,SGV_12N_42004
RV 5,SGV_12N_42005
RV 6,SGV_12N_42006
RV 7,SGV_12N_42007
RV 8,SGV_12N_42008
RV 9,SGV_12N_42009
RV 10,SGV_12N_42010
RV 11,SGV_12N_42011
RV 12,SGV_12N_42012
RV 13,SGV_12N_42013
RV 14,SGV_12N_42014
RV 15,SGV_12N_42015
RV 16,SGV_12N_42016
RV 17,SGV_12N_42017
RV 18,SGV_12N_42018
RV 19,SGV_12N_42019
RV 20,SGV_12N_42020
RV 21,SGV_12N_42021
RV 22,SGV_12N_42022
RV 23,SGV_12N_42023
RV 24,SGV_12N_42024
RV 25,SGV_12N_42025
RV 26,SGV_12N_42026
RV 27,SGV_12N_42027
RV 28,SGV_12N_42028
RV 29,SGV_12N_42029
RV 30,SGV_12N_42030
RV 31,SGV_12N_42031
RV 32,SGV_12N_42032
RV 33,SGV_12N_42033
RV 34,SGV_12N_42034
RV 35,SGV_12N_42035
RV 36,SGV_12N_42036
RV 37,SGV_12N_42037
RV 38,SGV_12N_42038
RV 39,SGV_12N_42039
RV 40,SGV_12N_42040
RV 41,SGV_12N_42041
RV 42,SGV_12N_42042
RV 43,SGV_12N_42043
RV 44,SGV_12N_42044
RV 45,SGV_12N_42045
RV 46,SGV_12N_42046
RV 47,SGV_12N_42047
RV 48,SGV_12N_42048
RV 49,SGV_12N_42049
RV 50,SGV_12N_42050
RV 51,SGV_12N_42051
RV 52,SGV_12N_42052
RV 53,SGV_12N_42053
RV 54,SGV_12N_42054
RV 55,SGV_12N_42055
RV 56,SGV_12N_42056
RV 57,SGV_12N_42057
RV 58,SGV_12N_42058
RV 59,SGV_12N_42059
RV 60,SGV_12N_42060
RV 61,SGV_12N_42061
RV 62,SGV_12N_42062
RV 63,SGV_12N_42063
RV 64,SGV_12N_42064
RV 65,SGV_12N_42065
RV 66,SGV_12N_42066
RV 67,SGV_12N_42067
RV 68,SGV_12N_42068
RV 69,SGV_12N_42069
RV 70,SGV_12N_42070
RV 71,SGV_12N_42071
RV 72,SGV_12N_42072
RV 73,SGV_12N_42073
RV 74,SGV_12N_42074
RV 75,SGV_12N_42075
RV 76,SGV_12N_42076
RV 77,SGV_12N_42077
RV 78,SGV_12N_42078
RV 79,SGV_12N_42079
RV 80,SGV_12N_42080
RV 81,SGV_12N_42081
RV 82,SGV_12N_42082
RV 83,SGV_12N_42083
RV 84,SGV_12N_42084
RV 85,SGV_12N_42085
RV 86,SGV_12N_42086
RV 87,SGV_12N_42087
RV 88,SGV_12N_42088
RV 89,SGV_12N_42089
RV 90,SGV_12N_42090
RV 91,SGV_12N_42091
RV 92,SGV_12N_42092
RV 93,SGV_12N_42093
RV 94,SGV_12N_42094
RV 95,SGV_12N_42095
RV 96,SGV_12N_42096
RV 97,SGV_12N_42097
RV 98,SGV_12N_42098
RV 99,SGV_12N_42099
RV 100,SGV_12N_42100
RW 1,SGV_12N_42101
RW 2,SGV_12N_42102
RW 3,SGV_12N_42103
RW 4,SGV_12N_42104
RW 5,SGV_12N_42105
RW 6,SGV_12N_42106
RW 7,SGV_12N_42107
RW 8,SGV_12N_42108
RW 9,SGV_12N_42109
RW 10,SGV_12N_42110
RW 11,SGV_12N_42111
RW 12,SGV_12N_42112
RW 13,SGV_12N_42113
RW 14,SGV_12N_42114
RW 15,SGV_12N_42115
RW 16,SGV_12N_42116
RW 17,SGV_12N_42117
RW 18,SGV_12N_42118
RW 19,SGV_12N_42119
RW 20,SGV_12N_42120
RW 21,SGV_12N_42121
RW 22,SGV_12N_42122
RW 23,SGV_12N_42123
RW 24,SGV_12N_42124
RW 25,SGV_12N_42125
RW 26,SGV_12N_42126
RW 27,SGV_12N_42127
RW 28,SGV_12N_42128
RW 29,SGV_12N_42129
RW 30,SGV_12N_42130
RW 31,SGV_12N_42131
RW 32,SGV_12N_42132
RW 33,SGV_12N_42133
RW 34,SGV_12N_42134
RW 35,SGV_12N_42135
RW 36,SGV_12N_42136
RW 37,SGV_12N_42137
RW 38,SGV_12N_42138
RW 39,SGV_12N_42139
RW 40,SGV_12N_42140
RW 41,SGV_12N_42141
RW 42,SGV_12N_42142
RW 43,SGV_12N_42143
RW 44,SGV_12N_42144
RW 45,SGV_12N_42145
RW 46,SGV_12N_42146
RW 47,SGV_12N_42147
RW 48,SGV_12N_42148
RW 49,SGV_12N_42149
RW 50,SGV_12N_42150
RW 51,SGV_12N_42151
RW 52,SGV_12N_42152
RW 53,SGV_12N_42153
RW 54,SGV_12N_42154
RW 55,SGV_12N_42155
RW 56,SGV_12N_42156
RW 57,SGV_12N_42157
RW 58,SGV_12N_42158
RW 59,SGV_12N_42159
RW 60,SGV_12N_42160
RW 61,SGV_12N_42161
RW 62,SGV_12N_42162
RW 63,SGV_12N_42163
RW 64,SGV_12N_42164
RW 65,SGV_12N_42165
RW 66,SGV_12N_42166
RW 67,SGV_12N_42167
RW 68,SGV_12N_42168
RW 69,SGV_12N_42169
RW 70,SGV_12N_42170
RW 71,SGV_12N_42171
RW 72,SGV_12N_42172
RW 73,SGV_12N_42173
RW 74,SGV_12N_42174
RW 75,SGV_12N_42175
RW 76,SGV_12N_42176
RW 77,SGV_12N_42177
RW 78,SGV_12N_42178
RW 79,SGV_12N_42179
RW 80,SGV_12N_42180
RW 81,SGV_12N_42181
RW 82,SGV_12N_42182
RW 83,SGV_12N_42183
RW 84,SGV_12N_42184
RW 85,SGV_12N_42185
RW 86,SGV_12N_42186
RW 87,SGV_12N_42187
RW 88,SGV_12N_42188
RW 89,SGV_12N_42189
RW 90,SGV_12N_42190
RW 91,SGV_12N_42191
RW 92,SGV_12N_42192
RW 93,SGV_12N_42193
RW 94,SGV_12N_42194
RW 95,SGV_12N_42195
RW 96,SGV_12N_42196
RW 97,SGV_12N_42197
RW 98,SGV_12N_42198
RW 99,SGV_12N_42199
RW 100,SGV_12N_42200
RX 1,SGV_12N_42201
RX 2,SGV_12N_42202
RX 3,SGV_12N_42203
RX 4,SGV_12N_42204
RX 5,SGV_12N_42205
RX 6,SGV_12N_42206
RX 7,SGV_12N_42207
RX 8,SGV_12N_42208
RX 9,SGV_12N_42209
RX 10,SGV_12N_42210
RX 11,SGV_12N_42211
RX 12,SGV_12N_42212
RX 13,SGV_12N_42213
RX 14,SGV_12N_42214
RX 15,SGV_12N_42215
RX 16,SGV_12N_42216
RX 17,SGV_12N_42217
RX 18,SGV_12N_42218
RX 19,SGV_12N_42219
RX 20,SGV_12N_42220
RX 21,SGV_12N_42221
RX 22,SGV_12N_42222
RX 23,SGV_12N_42223
RX 24,SGV_12N_42224
RX 25,SGV_12N_42225
RX 26,SGV_12N_42226
RX 27,SGV_12N_42227
RX 28,SGV_12N_42228
RX 29,SGV_12N_42229
RX 30,SGV_12N_42230
RX 31,SGV_12N_42231
RX 32,SGV_12N_42232
RX 33,SGV_12N_42233
RX 34,SGV_12N_42234
RX 35,SGV_12N_42235
RX 36,SGV_12N_42236
RX 37,SGV_12N_42237
RX 38,SGV_12N_42238
RX 39,SGV_12N_42239
RX 40,SGV_12N_42240
RX 41,SGV_12N_42241
RX 42,SGV_12N_42242
RX 43,SGV_12N_42243
RX 44,SGV_12N_42244
RX 45,SGV_12N_42245
RX 46,SGV_12N_42246
RX 47,SGV_12N_42247
RX 48,SGV_12N_42248
RX 49,SGV_12N_42249
RX 50,SGV_12N_42250
RX 51,SGV_12N_42251
RX 52,SGV_12N_42252
RX 53,SGV_12N_42253
RX 54,SGV_12N_42254
RX 55,SGV_12N_42255
RX 56,SGV_12N_42256
RX 57,SGV_12N_42257
RX 58,SGV_12N_42258
RX 59,SGV_12N_42259
RX 60,SGV_12N_42260
RX 61,SGV_12N_42261
RX 62,SGV_12N_42262
RX 63,SGV_12N_42263
RX 64,SGV_12N_42264
RX 65,SGV_12N_42265
RX 66,SGV_12N_42266
RX 67,SGV_12N_42267
RX 68,SGV_12N_42268
RX 69,SGV_12N_42269
RX 70,SGV_12N_42270
RX 71,SGV_12N_42271
RX 72,SGV_12N_42272
RX 73,SGV_12N_42273
RX 74,SGV_12N_42274
RX 75,SGV_12N_42275
RX 76,SGV_12N_42276
RX 77,SGV_12N_42277
RX 78,SGV_12N_42278
RX 79,SGV_12N_42279
RX 80,SGV_12N_42280
RX 81,SGV_12N_42281
RX 82,SGV_12N_42282
RX 83,SGV_12N_42283
RX 84,SGV_12N_42284
RX 85,SGV_12N_42285
RX 86,SGV_12N_42286
RX 87,SGV_12N_42287
RX 88,SGV_12N_42288
RX 89,SGV_12N_42289
RX 90,SGV_12N_42290
RX 91,SGV_12N_42291
RX 92,SGV_12N_42292
RX 93,SGV_12N_42293
RX 94,SGV_12N_42294
RX 95,SGV_12N_42295
RX 96,SGV_12N_42296
RX 97,SGV_12N_42297
RX 98,SGV_12N_42298
RX 99,SGV_12N_42299
RX 100,SGV_12N_42300
RY 1,SGV_12N_42301
RY 2,SGV_12N_42302
RY 3,SGV_12N_42303
RY 4,SGV_12N_42304
RY 5,SGV_12N_42305
RY 6,SGV_12N_42306
RY 7,SGV_12N_42307
RY 8,SGV_12N_42308
RY 9,SGV_12N_42309
RY 10,SGV_12N_42310
RY 11,SGV_12N_42311
RY 12,SGV_12N_42312
RY 13,SGV_12N_42313
RY 14,SGV_12N_42314
RY 15,SGV_12N_42315
RY 16,SGV_12N_42316
RY 17,SGV_12N_42317
RY 18,SGV_12N_42318
RY 19,SGV_12N_42319
RY 20,SGV_12N_42320
RY 21,SGV_12N_42321
RY 22,SGV_12N_42322
RY 23,SGV_12N_42323
RY 24,SGV_12N_42324
RY 25,SGV_12N_42325
RY 26,SGV_12N_42326
RY 27,SGV_12N_42327
RY 28,SGV_12N_42328
RY 29,SGV_12N_42329
RY 30,SGV_12N_42330
RY 31,SGV_12N_42331
RY 32,SGV_12N_42332
RY 33,SGV_12N_42333
RY 34,SGV_12N_42334
RY 35,SGV_12N_42335
RY 36,SGV_12N_42336
RY 37,SGV_12N_42337
RY 38,SGV_12N_42338
RY 39,SGV_12N_42339
RY 40,SGV_12N_42340
RY 41,SGV_12N_42341
RY 42,SGV_12N_42342
RY 43,SGV_12N_42343
RY 44,SGV_12N_42344
RY 45,SGV_12N_42345
RY 46,SGV_12N_42346
RY 47,SGV_12N_42347
RY 48,SGV_12N_42348
RY 49,SGV_12N_42349
RY 50,SGV_12N_42350
RY 51,SGV_12N_42351
RY 52,SGV_12N_42352
RY 53,SGV_12N_42353
RY 54,SGV_12N_42354
RY 55,SGV_12N_42355
RY 56,SGV_12N_42356
RY 57,SGV_12N_42357
RY 58,SGV_12N_42358
RY 59,SGV_12N_42359
RY 60,SGV_12N_42360
RY 61,SGV_12N_42361
RY 62,SGV_12N_42362
RY 63,SGV_12N_42363
RY 64,SGV_12N_42364
RY 65,SGV_12N_42365
RY 66,SGV_12N_42366
RY 67,SGV_12N_42367
RY 68,SGV_12N_42368
RY 69,SGV_12N_42369
RY 70,SGV_12N_42370
RY 71,SGV_12N_42371
RY 72,SGV_12N_42372
RY 73,SGV_12N_42373
RY 74,SGV_12N_42374
RY 75,SGV_12N_42375
RY 76,SGV_12N_42376
RY 77,SGV_12N_42377
RY 78,SGV_12N_42378
RY 79,SGV_12N_42379
RY 80,SGV_12N_42380
RY 81,SGV_12N_42381
RY 82,SGV_12N_42382
RY 83,SGV_12N_42383
RY 84,SGV_12N_42384
RY 85,SGV_12N_42385
RY 86,SGV_12N_42386
RY 87,SGV_12N_42387
RY 88,SGV_12N_42388
RY 89,SGV_12N_42389
RY 90,SGV_12N_42390
RY 91,SGV_12N_42391
RY 92,SGV_12N_42392
RY 93,SGV_12N_42393
RY 94,SGV_12N_42394
RY 95,SGV_12N_42395
RY 96,SGV_12N_42396
RY 97,SGV_12N_42397
RY 98,SGV_12N_42398
RY 99,SGV_12N_42399
RY 100,SGV_12N_42400
RZ 1,SGV_12N_42401
RZ 2,SGV_12N_42402
RZ 3,SGV_12N_42403
RZ 4,SGV_12N_42404
RZ 5,SGV_12N_42405
RZ 6,SGV_12N_42406
RZ 7,SGV_12N_42407
RZ 8,SGV_12N_42408
RZ 9,SGV_12N_42409
RZ 10,SGV_12N_42410
RZ 11,SGV_12N_42411
RZ 12,SGV_12N_42412
RZ 13,SGV_12N_42413
RZ 14,SGV_12N_42414
RZ 15,SGV_12N_42415
RZ 16,SGV_12N_42416
RZ 17,SGV_12N_42417
RZ 18,SGV_12N_42418
RZ 19,SGV_12N_42419
RZ 20,SGV_12N_42420
RZ 21,SGV_12N_42421
RZ 22,SGV_12N_42422
RZ 23,SGV_12N_42423
RZ 24,SGV_12N_42424
RZ 25,SGV_12N_42425
RZ 26,SGV_12N_42426
RZ 27,SGV_12N_42427
RZ 28,SGV_12N_42428
RZ 29,SGV_12N_42429
RZ 30,SGV_12N_42430
RZ 31,SGV_12N_42431
RZ 32,SGV_12N_42432
RZ 33,SGV_12N_42433
RZ 34,SGV_12N_42434
RZ 35,SGV_12N_42435
RZ 36,SGV_12N_42436
RZ 37,SGV_12N_42437
RZ 38,SGV_12N_42438
RZ 39,SGV_12N_42439
RZ 40,SGV_12N_42440
RZ 41,SGV_12N_42441
RZ 42,SGV_12N_42442
RZ 43,SGV_12N_42443
RZ 44,SGV_12N_42444
RZ 45,SGV_12N_42445
RZ 46,SGV_12N_42446
RZ 47,SGV_12N_42447
RZ 48,SGV_12N_42448
RZ 49,SGV_12N_42449
RZ 50,SGV_12N_42450
RZ 51,SGV_12N_42451
RZ 52,SGV_12N_42452
RZ 53,SGV_12N_42453
RZ 54,SGV_12N_42454
RZ 55,SGV_12N_42455
RZ 56,SGV_12N_42456
RZ 57,SGV_12N_42457
RZ 58,SGV_12N_42458
RZ 59,SGV_12N_42459
RZ 60,SGV_12N_42460
RZ 61,SGV_12N_42461
RZ 62,SGV_12N_42462
RZ 63,SGV_12N_42463
RZ 64,SGV_12N_42464
RZ 65,SGV_12N_42465
RZ 66,SGV_12N_42466
RZ 67,SGV_12N_42467
RZ 68,SGV_12N_42468
RZ 69,SGV_12N_42469
RZ 70,SGV_12N_42470
RZ 71,SGV_12N_42471
RZ 72,SGV_12N_42472
RZ 73,SGV_12N_42473
RZ 74,SGV_12N_42474
RZ 75,SGV_12N_42475
RZ 76,SGV_12N_42476
RZ 77,SGV_12N_42477
RZ 78,SGV_12N_42478
RZ 79,SGV_12N_42479
RZ 80,SGV_12N_42480
RZ 81,SGV_12N_42481
RZ 82,SGV_12N_42482
RZ 83,SGV_12N_42483
RZ 84,SGV_12N_42484
RZ 85,SGV_12N_42485
RZ 86,SGV_12N_42486
RZ 87,SGV_12N_42487
RZ 88,SGV_12N_42488
RZ 89,SGV_12N_42489
RZ 90,SGV_12N_42490
RZ 91,SGV_12N_42491
RZ 92,SGV_12N_42492
RZ 93,SGV_12N_42493
RZ 94,SGV_12N_42494
RZ 95,SGV_12N_42495
RZ 96,SGV_12N_42496
RZ 97,SGV_12N_42497
RZ 98,SGV_12N_42498
RZ 99,SGV_12N_42499
RZ 100,SGV_12N_42500
SA 1,SGV_12N_42501
SA 2,SGV_12N_42502
SA 3,SGV_12N_42503
SA 4,SGV_12N_42504
SA 5,SGV_12N_42505
SA 6,SGV_12N_42506
SA 7,SGV_12N_42507
SA 8,SGV_12N_42508
SA 9,SGV_12N_42509
SA 10,SGV_12N_42510
SA 11,SGV_12N_42511
SA 12,SGV_12N_42512
SA 13,SGV_12N_42513
SA 14,SGV_12N_42514
SA 15,SGV_12N_42515
SA 16,SGV_12N_42516
SA 17,SGV_12N_42517
SA 18,SGV_12N_42518
SA 19,SGV_12N_42519
SA 20,SGV_12N_42520
SA 21,SGV_12N_42521
SA 22,SGV_12N_42522
SA 23,SGV_12N_42523
SA 24,SGV_12N_42524
SA 25,SGV_12N_42525
SA 26,SGV_12N_42526
SA 27,SGV_12N_42527
SA 28,SGV_12N_42528
SA 29,SGV_12N_42529
SA 30,SGV_12N_42530
SA 31,SGV_12N_42531
SA 32,SGV_12N_42532
SA 33,SGV_12N_42533
SA 34,SGV_12N_42534
SA 35,SGV_12N_42535
SA 36,SGV_12N_42536
SA 37,SGV_12N_42537
SA 38,SGV_12N_42538
SA 39,SGV_12N_42539
SA 40,SGV_12N_42540
SA 41,SGV_12N_42541
SA 42,SGV_12N_42542
SA 43,SGV_12N_42543
SA 44,SGV_12N_42544
SA 45,SGV_12N_42545
SA 46,SGV_12N_42546
SA 47,SGV_12N_42547
SA 48,SGV_12N_42548
SA 49,SGV_12N_42549
SA 50,SGV_12N_42550
SA 51,SGV_12N_42551
SA 52,SGV_12N_42552
SA 53,SGV_12N_42553
SA 54,SGV_12N_42554
SA 55,SGV_12N_42555
SA 56,SGV_12N_42556
SA 57,SGV_12N_42557
SA 58,SGV_12N_42558
SA 59,SGV_12N_42559
SA 60,SGV_12N_42560
SA 61,SGV_12N_42561
SA 62,SGV_12N_42562
SA 63,SGV_12N_42563
SA 64,SGV_12N_42564
SA 65,SGV_12N_42565
SA 66,SGV_12N_42566
SA 67,SGV_12N_42567
SA 68,SGV_12N_42568
SA 69,SGV_12N_42569
SA 70,SGV_12N_42570
SA 71,SGV_12N_42571
SA 72,SGV_12N_42572
SA 73,SGV_12N_42573
SA 74,SGV_12N_42574
SA 75,SGV_12N_42575
SA 76,SGV_12N_42576
SA 77,SGV_12N_42577
SA 78,SGV_12N_42578
SA 79,SGV_12N_42579
SA 80,SGV_12N_42580
SA 81,SGV_12N_42581
SA 82,SGV_12N_42582
SA 83,SGV_12N_42583
SA 84,SGV_12N_42584
SA 85,SGV_12N_42585
SA 86,SGV_12N_42586
SA 87,SGV_12N_42587
SA 88,SGV_12N_42588
SA 89,SGV_12N_42589
SA 90,SGV_12N_42590
SA 91,SGV_12N_42591
SA 92,SGV_12N_42592
SA 93,SGV_12N_42593
SA 94,SGV_12N_42594
SA 95,SGV_12N_42595
SA 96,SGV_12N_42596
SA 97,SGV_12N_42597
SA 98,SGV_12N_42598
SA 99,SGV_12N_42599
SA 100,SGV_12N_42600
SB 1,SGV_12N_42601
SB 2,SGV_12N_42602
SB 3,SGV_12N_42603
SB 4,SGV_12N_42604
SB 5,SGV_12N_42605
SB 6,SGV_12N_42606
SB 7,SGV_12N_42607
SB 8,SGV_12N_42608
SB 9,SGV_12N_42609
SB 10,SGV_12N_42610
SB 11,SGV_12N_42611
SB 12,SGV_12N_42612
SB 13,SGV_12N_42613
SB 14,SGV_12N_42614
SB 15,SGV_12N_42615
SB 16,SGV_12N_42616
SB 17,SGV_12N_42617
SB 18,SGV_12N_42618
SB 19,SGV_12N_42619
SB 20,SGV_12N_42620
SB 21,SGV_12N_42621
SB 22,SGV_12N_42622
SB 23,SGV_12N_42623
SB 24,SGV_12N_42624
SB 25,SGV_12N_42625
SB 26,SGV_12N_42626
SB 27,SGV_12N_42627
SB 28,SGV_12N_42628
SB 29,SGV_12N_42629
SB 30,SGV_12N_42630
SB 31,SGV_12N_42631
SB 32,SGV_12N_42632
SB 33,SGV_12N_42633
SB 34,SGV_12N_42634
SB 35,SGV_12N_42635
SB 36,SGV_12N_42636
SB 37,SGV_12N_42637
SB 38,SGV_12N_42638
SB 39,SGV_12N_42639
SB 40,SGV_12N_42640
SB 41,SGV_12N_42641
SB 42,SGV_12N_42642
SB 43,SGV_12N_42643
SB 44,SGV_12N_42644
SB 45,SGV_12N_42645
SB 46,SGV_12N_42646
SB 47,SGV_12N_42647
SB 48,SGV_12N_42648
SB 49,SGV_12N_42649
SB 50,SGV_12N_42650
SB 51,SGV_12N_42651
SB 52,SGV_12N_42652
SB 53,SGV_12N_42653
SB 54,SGV_12N_42654
SB 55,SGV_12N_42655
SB 56,SGV_12N_42656
SB 57,SGV_12N_42657
SB 58,SGV_12N_42658
SB 59,SGV_12N_42659
SB 60,SGV_12N_42660
SB 61,SGV_12N_42661
SB 62,SGV_12N_42662
SB 63,SGV_12N_42663
SB 64,SGV_12N_42664
SB 65,SGV_12N_42665
SB 66,SGV_12N_42666
SB 67,SGV_12N_42667
SB 68,SGV_12N_42668
SB 69,SGV_12N_42669
SB 70,SGV_12N_42670
SB 71,SGV_12N_42671
SB 72,SGV_12N_42672
SB 73,SGV_12N_42673
SB 74,SGV_12N_42674
SB 75,SGV_12N_42675
SB 76,SGV_12N_42676
SB 77,SGV_12N_42677
SB 78,SGV_12N_42678
SB 79,SGV_12N_42679
SB 80,SGV_12N_42680
SB 81,SGV_12N_42681
SB 82,SGV_12N_42682
SB 83,SGV_12N_42683
SB 84,SGV_12N_42684
SB 85,SGV_12N_42685
SB 86,SGV_12N_42686
SB 87,SGV_12N_42687
SB 88,SGV_12N_42688
SB 89,SGV_12N_42689
SB 90,SGV_12N_42690
SB 91,SGV_12N_42691
SB 92,SGV_12N_42692
SB 93,SGV_12N_42693
SB 94,SGV_12N_42694
SB 95,SGV_12N_42695
SB 96,SGV_12N_42696
SB 97,SGV_12N_42697
SB 98,SGV_12N_42698
SB 99,SGV_12N_42699
SB 100,SGV_12N_42700
SC 1,SGV_12N_42701
SC 2,SGV_12N_42702
SC 3,SGV_12N_42703
SC 4,SGV_12N_42704
SC 5,SGV_12N_42705
SC 6,SGV_12N_42706
SC 7,SGV_12N_42707
SC 8,SGV_12N_42708
SC 9,SGV_12N_42709
SC 10,SGV_12N_42710
SC 11,SGV_12N_42711
SC 12,SGV_12N_42712
SC 13,SGV_12N_42713
SC 14,SGV_12N_42714
SC 15,SGV_12N_42715
SC 16,SGV_12N_42716
SC 17,SGV_12N_42717
SC 18,SGV_12N_42718
SC 19,SGV_12N_42719
SC 20,SGV_12N_42720
SC 21,SGV_12N_42721
SC 22,SGV_12N_42722
SC 23,SGV_12N_42723
SC 24,SGV_12N_42724
SC 25,SGV_12N_42725
SC 26,SGV_12N_42726
SC 27,SGV_12N_42727
SC 28,SGV_12N_42728
SC 29,SGV_12N_42729
SC 30,SGV_12N_42730
SC 31,SGV_12N_42731
SC 32,SGV_12N_42732
SC 33,SGV_12N_42733
SC 34,SGV_12N_42734
SC 35,SGV_12N_42735
SC 36,SGV_12N_42736
SC 37,SGV_12N_42737
SC 38,SGV_12N_42738
SC 39,SGV_12N_42739
SC 40,SGV_12N_42740
SC 41,SGV_12N_42741
SC 42,SGV_12N_42742
SC 43,SGV_12N_42743
